Macro Recording Summary
=======================
Total Duration: 39602.135ms (39.60s)
Total Events: 367

Event Log:
--------------------------------------------------------------------------------
 14474.310ms | KEY UP     | e (held 7.731ms)
 14491.256ms | KEY DOWN   | e
 14498.005ms | KEY UP     | e (held 6.749ms)
 14515.443ms | KEY DOWN   | e
 14522.744ms | KEY UP     | e (held 7.301ms)
 14539.908ms | KEY DOWN   | e
 14546.884ms | KEY UP     | e (held 6.976ms)
 14564.374ms | KEY DOWN   | e
 14571.690ms | KEY UP     | e (held 7.316ms)
 14588.932ms | KEY DOWN   | e
 14595.859ms | KEY UP     | e (held 6.928ms)
 14613.097ms | KEY DOWN   | e
 14620.832ms | KEY UP     | e (held 7.735ms)
 14638.725ms | KEY DOWN   | e
 14645.734ms | KEY UP     | e (held 7.009ms)
 14662.805ms | KEY DOWN   | e
 14669.850ms | KEY UP     | e (held 7.045ms)
 14686.840ms | KEY DOWN   | e
 14693.687ms | KEY UP     | e (held 6.848ms)
 14711.049ms | KEY DOWN   | e
 14718.316ms | KEY UP     | e (held 7.267ms)
 14735.567ms | KEY DOWN   | e
 14742.429ms | KEY UP     | e (held 6.862ms)
 14759.726ms | KEY DOWN   | e
 14767.055ms | KEY UP     | e (held 7.329ms)
 14784.379ms | KEY DOWN   | e
 14790.973ms | KEY UP     | e (held 6.594ms)
 14808.540ms | KEY DOWN   | e
 14815.636ms | KEY UP     | e (held 7.096ms)
 14833.040ms | KEY DOWN   | e
 14839.984ms | KEY UP     | e (held 6.945ms)
 14857.090ms | KEY DOWN   | e
 14864.373ms | KEY UP     | e (held 7.283ms)
 14881.355ms | KEY DOWN   | e
 14888.136ms | KEY UP     | e (held 6.781ms)
 14905.340ms | KEY DOWN   | e
 14912.548ms | KEY UP     | e (held 7.208ms)
 14929.477ms | KEY DOWN   | e
 14936.553ms | KEY UP     | e (held 7.076ms)
 14953.835ms | KEY DOWN   | e
 14961.486ms | KEY UP     | e (held 7.651ms)
 14978.078ms | MOUSE UP   | left at (867, 1147) (held 0.000ms) [ORPHAN]
 14978.817ms | MOUSE UP   | left at (867, 1147) (held 0.000ms) [ORPHAN]
 14979.356ms | MOUSE UP   | right at (867, 1147) (held 0.000ms) [ORPHAN]
 14980.034ms | KEY UP     | e (held 0.000ms) [ORPHAN]
 14980.334ms | KEY UP     | q (held 0.000ms) [ORPHAN]
 14980.707ms | KEY UP     | tab (held 0.000ms) [ORPHAN]
 15763.196ms | KEY DOWN   | q
 16397.229ms | KEY UP     | q (held 634.033ms)
 16772.244ms | KEY DOWN   | tab
 16901.979ms | KEY UP     | tab (held 129.735ms)
 17449.224ms | KEY DOWN   | tab
 17553.003ms | KEY UP     | tab (held 103.779ms)
 17744.290ms | KEY DOWN   | w
 17837.048ms | KEY DOWN   | shift
 18394.666ms | KEY DOWN   | C
 18519.148ms | KEY UP     | C (held 124.482ms)
